class,metrics,mean,sd
0,f1-score,0.9749185579984565,0.007630357800728885
0,precision,0.969460960977262,0.014692086789398815
0,recall,0.9805632502308402,0.007089533660111799
1,f1-score,0.8181501107736101,0.02749323911470414
1,precision,0.8369651968002322,0.028282889988745407
1,recall,0.8031099592743428,0.06064788998803912
2,f1-score,0.9771613479456782,0.005832093292063828
2,precision,0.9784546787181932,0.007966035811024025
2,recall,0.9758953677667604,0.005815429764608072
error,f1-score,0.9709369709276449,0.005133101182003702
error,precision,0.975752409560814,0.008267114653035697
error,recall,0.9662650602409638,0.010080241283543111
macro avg,f1-score,0.9352917469113474,0.008878370544025224
macro avg,precision,0.9401583115141253,0.005903852755882159
macro avg,recall,0.9314584093782269,0.0145930949235991
weighted avg,f1-score,0.9598546179598173,0.005508771639871824
weighted avg,precision,0.9599887674989104,0.005845256884212967
weighted avg,recall,0.9602036226555193,0.004935694510268436
